Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Groundnut,1999,Kharif     ,Puducherry,898.0,2511,1434.5875,95304.74,242.46,2.125
Moong(Green Gram),2001,Kharif     ,Chhattisgarh,9669.0,2887,1550.0,987494.97,2513.94,0.261875
Moong(Green Gram),2001,Rabi       ,Uttarakhand,59.0,16,1541.3,6025.67,15.34,0.286666667
Rice,2000,Kharif     ,Haryana,1054282.0,2695000,383.7,103498863.9,274113.32,2.443157895
Sesamum,1999,Kharif     ,Bihar,3599.0,1881,1402.7,381961.87,971.73,0.553103448
Sesamum,2016,Winter     ,Odisha,11000.0,3429,1460.5,1685750.0,3850.0,0.2825
Urad,2010,Kharif     ,Bihar,15167.0,13225,629.2,2519390.37,3640.08,0.8775
Arhar/Tur,1998,Kharif     ,Tamil Nadu,113783.0,99516,1077.1,11241760.4,32997.07,0.8125
Maize,2013,Kharif     ,Tamil Nadu,223113.0,1458297,740.9,32237597.37,60240.51,6.161111111
Potato,2016,Summer     ,West Bengal,2590.0,25329,1795.8,396917.5,906.5,7.125
Potato,2005,Rabi       ,Karnataka,5416.0,97924,1316.2,649486.72,1137.36,17.84
Guar seed,2016,Kharif     ,Uttar Pradesh,1831.0,1312,965.3,280600.75,640.85,0.732537313
Arecanut,2000,Whole Year ,Assam,73237.0,68261,1965.5,7189676.29,19041.62,0.957391304
Sesamum,2005,Kharif     ,Puducherry,132.0,85,1434.5875,15829.44,27.72,0.356666667
Arecanut,2002,Whole Year ,Assam,73664.0,51631,1973.6,6973770.88,18416.0,0.711304348
Garlic,2019,Rabi       ,Himachal Pradesh,3943.0,2575,1217.7,677249.68,1458.91,0.672
Sweet potato,2008,Whole Year ,Meghalaya,4895.0,15909,3114.3,700180.8,440.55,3.648571429
Cowpea(Lobia),2018,Rabi       ,Meghalaya,1676.0,2537,5649.1,271847.2,586.6,1.631818182
Sesamum,2016,Kharif     ,Puducherry,3.0,4,1391.3,459.75,1.05,1.33
Maize,2011,Rabi       ,West Bengal,22614.0,107784,1686.5,3788297.28,7462.62,3.447272727
Sesamum,2009,Kharif     ,Himachal Pradesh,2773.0,233,969.9,432088.86,471.41,0.084444444
Wheat,2011,Rabi       ,Andhra Pradesh,8255.0,10914,861.9,1382877.6,2724.15,1.306666667
Arhar/Tur,2002,Kharif     ,Bihar,37680.0,42966,1105.8,3567165.6,9420.0,1.169189189
Jowar,2009,Rabi       ,Karnataka,1117147.0,1046387,1321.0,174073845.5,189914.99,0.8765
Safflower,2002,Rabi       ,Bihar,162.0,132,1105.8,15336.54,40.5,0.82
Sesamum,2010,Kharif     ,Himachal Pradesh,2890.0,917,1319.8,480057.9,693.6,0.318888889
Onion,2011,Summer     ,Gujarat,9200.0,258600,890.5,1541184.0,3036.0,26.965
Masoor,2008,Rabi       ,Bihar,163773.0,132948,1197.7,23426089.92,14739.57,0.757105263
Oilseeds total,2007,Whole Year ,Arunachal Pradesh,30749.0,28568,3223.9,4101916.6,4919.84,0.9325
Barley,2014,Rabi       ,Punjab,11000.0,39400,382.7,1660560.0,3630.0,3.538888889
Groundnut,2006,Kharif     ,Madhya Pradesh,197231.0,187172,1072.3,25188371.01,43390.82,0.862708333
Maize,2015,Autumn     ,Odisha,52843.0,103999,1210.1,8344438.13,17438.19,1.629130435
Cotton(lint),2018,Kharif     ,Nagaland,130.0,80,1372.7,21086.0,45.5,0.615
Safflower,2006,Rabi       ,West Bengal,399.0,242,1631.4,50956.29,87.78,0.556666667
Moong(Green Gram),1999,Kharif     ,Bihar,8821.0,4654,1402.7,936172.73,2381.67,0.552068966
Arhar/Tur,2019,Kharif     ,Punjab,2000.0,2200,653.2,343520.0,740.0,1.118571429
Turmeric,2003,Whole Year ,Arunachal Pradesh,447.0,1527,2782.2,44244.06,107.28,3.82125
Small millets,2016,Kharif     ,Madhya Pradesh,132000.0,131620,1048.4,20229000.0,46200.0,1.1425
Masoor,1998,Rabi       ,Haryana,11106.0,7600,687.6,1097272.8,3220.74,0.833333333
Coriander,2019,Whole Year ,Tamil Nadu,7397.0,3675,910.1,1270508.72,2736.89,0.470909091
Other  Rabi pulses,2017,Rabi       ,Nagaland,10730.0,13650,1722.1,1689331.2,4077.4,1.276666667
Maize,2015,Summer     ,West Bengal,55352.0,255082,1717.0,8740634.32,18266.16,3.279444444
Other Kharif pulses,2018,Kharif     ,Mizoram,716.0,974,1665.2,116135.2,250.6,1.34625
Urad,2010,Autumn     ,Odisha,35912.0,8515,1291.9,5965342.32,8618.88,0.230909091
Potato,2014,Whole Year ,Delhi,436.0,9273,416.4,65818.56,143.88,21.27
Urad,2014,Summer     ,Uttar Pradesh,43663.0,23591,616.4,6591366.48,14408.79,0.575454545
Sesamum,2010,Kharif     ,Uttar Pradesh,335623.0,66157,742.6,55750336.53,80549.52,0.194626866
Cotton(lint),2014,Kharif     ,Gujarat,2883793.0,9233677,605.6,435337391.3,951651.69,3.495666667
Onion,2014,Rabi       ,Uttar Pradesh,10021.0,153311,616.4,1512770.16,3306.93,15.2939726
Bajra,2010,Summer     ,Puducherry,5.0,11,1434.5875,830.55,1.2,2.2
Urad,2003,Rabi       ,Chhattisgarh,5621.0,1438,1643.7,556366.58,1349.04,0.265833333
Black pepper,2007,Whole Year ,Goa,666.0,208,3674.7,88844.4,106.56,0.31
Potato,1997,Whole Year ,West Bengal,284015.0,5581553,1852.9,27029707.55,88044.65,18.23722222
Horse-gram,2007,Rabi       ,Chhattisgarh,2814.0,823,1246.2,375387.6,450.24,0.324166667
Other  Rabi pulses,2014,Rabi       ,Uttarakhand,6.0,5,1287.4,905.76,1.98,0.9175
Ragi,2014,Summer     ,Puducherry,32.0,58,1330.0,4830.72,10.56,1.81
Jute,1997,Kharif     ,Bihar,147527.0,1327863,1303.7,14040144.59,45733.37,8.642631579
Maize,2013,Summer     ,Karnataka,27180.0,88183,1235.6,3927238.2,7338.6,3.111724138
Sunflower,2001,Rabi       ,Nagaland,900.0,1130,1532.0,91917.0,234.0,1.17
Ragi,2015,Kharif     ,Telangana,742.0,404,747.9,117169.22,244.86,0.666666667
Sannhamp,2001,Whole Year ,Himachal Pradesh,38.0,38,918.1,3880.94,9.88,1.0
Banana,2018,Whole Year ,Madhya Pradesh,26541.39,1853026,1102.2,4305013.458,9289.4865,48.04833333
Other  Rabi pulses,2015,Rabi       ,Chhattisgarh,2388.0,399,1136.0,377089.08,788.04,0.180416667
Soyabean,2001,Kharif     ,Uttarakhand,9688.0,6176,1541.3,989435.44,2518.88,0.599166667
Linseed,2003,Rabi       ,Chhattisgarh,74975.0,23092,1643.7,7421025.5,17994.0,0.312666667
Urad,2016,Winter     ,Odisha,65569.0,29995,1460.5,10048449.25,22949.15,0.412068966
Mesta,2018,Whole Year ,Karnataka,81.0,116,1419.1,13138.2,28.35,1.334545455
Sweet potato,2006,Whole Year ,Madhya Pradesh,4070.0,22633,1072.3,519779.7,895.4,5.947173913
Moong(Green Gram),2019,Kharif     ,Jammu and Kashmir,308.0,133,1324.1,52902.08,113.96,0.485714286
Sannhamp,2019,Kharif     ,Bihar,900.0,727,1194.7,154584.0,333.0,0.835625
Wheat,2009,Rabi       ,Himachal Pradesh,350440.0,324174,969.9,54605560.8,59574.8,0.933333333
Sannhamp,2009,Whole Year ,Chhattisgarh,1532.0,487,956.9,238716.24,260.44,0.275294118
Masoor,2004,Rabi       ,Odisha,10400.0,4130,1290.4,1126736.0,2184.0,0.393333333
Rice,2006,Summer     ,Karnataka,284632.0,822692,1146.3,36350352.72,62619.04,2.6825
Peas & beans (Pulses),2016,Rabi       ,Tripura,3200.0,2816,2475.3,490400.0,1120.0,0.86875
Rice,2012,Kharif     ,Chhattisgarh,3982172.0,7848401,1366.8,600511537.6,1234473.32,1.91962963
Small millets,2010,Kharif     ,Bihar,5303.0,4080,629.2,880881.33,1272.72,0.799444444
Potato,2011,Kharif     ,Mizoram,319.0,2335,2439.340909,53438.88,105.27,5.87
Bajra,2002,Rabi       ,Karnataka,271.0,215,860.8,25655.57,67.75,0.79
Guar seed,2016,Kharif     ,Punjab,33300.0,28700,635.9,5103225.0,11655.0,1.04125
Moong(Green Gram),2013,Kharif     ,Maharashtra,430700.0,200572,1409.8,62231843.0,116289.0,0.653103448
Other  Rabi pulses,2003,Rabi       ,Nagaland,4030.0,3500,1709.8,398889.4,967.2,0.85125
Guar seed,2018,Whole Year ,Gujarat,134104.0,75335,1125.4,21751668.8,46936.4,0.6435
Maize,2011,Kharif     ,Delhi,38.0,843,641.3954545,6365.76,12.54,22.18
Gram,2015,Rabi       ,Tamil Nadu,4876.0,3176,1201.9,769969.16,1609.08,0.6
Soyabean,2002,Kharif     ,Chhattisgarh,15155.0,8335,1001.4,1434723.85,3788.75,0.598
Tobacco,2001,Whole Year ,Meghalaya,728.0,480,4241.0,74350.64,189.28,0.562
Jowar,2005,Kharif     ,Maharashtra,1472400.0,1764100,1387.2,176570208.0,309204.0,1.138846154
Sugarcane,2010,Whole Year ,Mizoram,1418.0,7900,2738.7,235543.98,340.32,5.5975
Potato,2014,Summer     ,Meghalaya,12435.0,139328,3484.4,1877187.6,4103.55,8.149090909
Jowar,2002,Rabi       ,Gujarat,51700.0,34400,458.4,4894439.0,12925.0,0.617
Rapeseed &Mustard,2011,Rabi       ,Meghalaya,7193.0,4902,4083.104545,1204971.36,2373.69,0.6
Moong(Green Gram),2009,Rabi       ,Puducherry,4.0,2,1434.5875,623.28,0.68,0.5
Cotton(lint),2017,Kharif     ,Uttar Pradesh,4150.0,1534,652.1,653376.0,1577.0,0.355555556
Arhar/Tur,2014,Kharif     ,Madhya Pradesh,520000.0,506000,891.2,78499200.0,171600.0,0.934583333
Bajra,2019,Kharif     ,Puducherry,14.0,36,1317.0,2404.64,5.18,2.57
Wheat,2012,Rabi       ,Madhya Pradesh,5601025.0,16510524,1049.5,844634570.0,1736317.75,2.8566
Coriander,2002,Whole Year ,Puducherry,5.0,4,1434.5875,473.35,1.25,0.8
Barley,2006,Rabi       ,Punjab,19000.0,64000,569.6,2426490.0,4180.0,3.3
Garlic,2013,Rabi       ,Uttar Pradesh,37238.0,218178,995.2,5380518.62,10054.26,5.870166667
Bajra,1999,Kharif     ,Jammu and Kashmir,13357.0,6397,667.1,1417578.41,3606.39,0.5575
Rapeseed &Mustard,2012,Rabi       ,West Bengal,446918.0,474832,1566.0,67395234.4,138544.58,0.965
Banana,2011,Whole Year ,Karnataka,69256.0,1730522,1178.986364,11601765.12,22854.48,25.06172414
Coriander,2016,Whole Year ,Haryana,2261.0,4004,554.7,346498.25,791.35,1.896190476
Moong(Green Gram),2017,Summer     ,Gujarat,26721.0,26031,814.8,4206954.24,10153.98,0.7928125
Sugarcane,2002,Whole Year ,Mizoram,1370.0,7443,2627.0,129697.9,342.5,6.4075
Barley,2018,Rabi       ,Uttar Pradesh,150880.0,454980,792.8,24472736.0,52808.0,3.080810811
Horse-gram,1998,Rabi       ,West Bengal,4958.0,2043,2152.5,489850.4,1437.82,0.422
Peas & beans (Pulses),2014,Rabi       ,Himachal Pradesh,2040.0,597,1019.9,307958.4,673.2,0.3275
Wheat,2003,Rabi       ,Chhattisgarh,106109.0,113138,1643.7,10502668.82,25466.16,1.20875
other oilseeds,2018,Kharif     ,Arunachal Pradesh,715.0,649,2992.9,115973.0,250.25,1.14
Linseed,2003,Rabi       ,Karnataka,12909.0,996,867.6,1277732.82,3098.16,0.067142857
Maize,2003,Kharif     ,Madhya Pradesh,898618.0,1858342,1163.0,88945209.64,215668.32,1.916041667
Sugarcane,1999,Whole Year ,Goa,1335.0,68440,3879.3,141683.55,360.45,51.27
Moth,2020,Kharif     ,Uttarakhand,42.0,24,1313.947826,8131.62,15.54,0.57
Wheat,2017,Rabi       ,West Bengal,117360.0,362744,1830.0,18477158.4,44596.8,2.676666667
Cotton(lint),2017,Kharif     ,Madhya Pradesh,603190.0,953120,800.0,94966233.6,229212.2,1.484
Bajra,2000,Rabi       ,Karnataka,160.0,129,1213.3,15707.2,41.6,0.81
Urad,2000,Kharif     ,Odisha,109101.0,27258,1066.0,10710445.17,28366.26,0.215666667
Soyabean,2012,Kharif     ,Himachal Pradesh,617.0,834,1035.0,93043.6,191.27,1.494285714
Arhar/Tur,2003,Kharif     ,Punjab,9700.0,9000,451.7,960106.0,2328.0,0.947333333
Ragi,1999,Kharif     ,Bihar,65724.0,64673,1402.7,6975288.12,17745.48,0.9724
Sweet potato,2008,Rabi       ,Bihar,1324.0,19474,1197.7,189384.96,119.16,13.97842105
Banana,2014,Whole Year ,Kerala,61936.0,545431,3046.4,9349858.56,20438.88,8.282857143
Castor seed,1999,Kharif     ,Tamil Nadu,36034.0,11843,922.8,3824288.42,9729.18,0.351666667
Masoor,2008,Rabi       ,Himachal Pradesh,661.0,215,1357.1,94549.44,59.49,0.468888889
Wheat,1998,Rabi       ,Bihar,2121335.0,4403655,1332.5,209587898.0,615187.15,1.889272727
Coconut ,2002,Whole Year ,West Bengal,24976.0,324194500,1629.1,2364477.92,6244.0,12229.29167
Masoor,2011,Rabi       ,Jammu and Kashmir,234.0,130,887.6,39199.68,77.22,0.5525
Sugarcane,2016,Whole Year ,Tripura,822.0,44100,2475.3,125971.5,287.7,54.71125
Garlic,1999,Whole Year ,Kerala,849.0,14433,2914.6,90104.37,229.23,17.0
Rapeseed &Mustard,2007,Rabi       ,Maharashtra,9200.0,4300,1257.2,1227280.0,1472.0,0.482758621
Small millets,2004,Kharif     ,Karnataka,58359.0,30584,1117.7,6322614.06,12255.39,0.532105263
Sweet potato,2012,Rabi       ,Andhra Pradesh,650.0,6257,968.7,98020.0,201.5,9.615454545
Wheat,2004,Rabi       ,Maharashtra,755700.0,1016300,1052.0,81872538.0,158697.0,1.199666667
Soyabean,2002,Kharif     ,Manipur,280.0,340,1743.7,26507.6,70.0,1.21
Cowpea(Lobia),2018,Kharif     ,Tripura,4145.0,3215,2169.1,672319.0,1450.75,0.765
Groundnut,2017,Kharif     ,Punjab,1200.0,2300,497.5,188928.0,456.0,1.92
Maize,2018,Rabi       ,Jharkhand,5944.0,11324,1222.7,964116.8,2080.4,1.835789474
Maize,2020,Summer     ,Uttarakhand,198.0,430,1313.947826,38334.78,73.26,2.125
Onion,2006,Whole Year ,Madhya Pradesh,37825.0,629635,1072.3,4830630.75,8321.5,14.81125
Soyabean,2018,Kharif     ,Nagaland,25110.0,31640,1372.7,4072842.0,8788.5,1.253636364
Linseed,2007,Rabi       ,Meghalaya,82.0,39,4702.0,10938.8,13.12,0.48
Turmeric,2001,Whole Year ,Arunachal Pradesh,573.0,2094,2128.5,58520.49,148.98,4.02625
Sunflower,2007,Rabi       ,Nagaland,1200.0,950,1769.0,160080.0,192.0,0.766666667
Coriander,2019,Whole Year ,Madhya Pradesh,292287.88,394760,1446.7,50203366.27,108146.5156,1.5634
Rapeseed &Mustard,2013,Winter     ,Odisha,13442.0,3617,1632.4,1942234.58,3629.34,0.231071429
Maize,2004,Rabi       ,Uttar Pradesh,4156.0,19263,704.0,450261.04,872.76,4.646785714
Groundnut,2013,Kharif     ,Chhattisgarh,29186.0,42396,1418.3,4217085.14,7880.22,1.331818182
Cowpea(Lobia),2012,Rabi       ,Mizoram,130.0,149,2050.2,19604.0,40.3,1.11
Turmeric,1999,Whole Year ,Kerala,3971.0,8362,2914.6,421442.23,1072.17,1.999285714
Rapeseed &Mustard,2012,Rabi       ,Sikkim,4380.0,3500,3006.9,660504.0,1357.8,0.7775
Ragi,1997,Summer     ,Karnataka,13521.0,25035,1266.7,1286793.57,4191.51,1.847777778
Urad,2017,Kharif     ,Madhya Pradesh,1788800.0,1744360,800.0,281628672.0,679744.0,0.742941176
Small millets,2009,Kharif     ,Uttar Pradesh,6951.0,3540,585.8,1083104.82,1181.67,0.530416667
Maize,2014,Kharif     ,Arunachal Pradesh,48000.0,75000,2403.2,7246080.0,15840.0,1.752941176
Urad,2002,Kharif     ,Himachal Pradesh,12670.0,3065,890.8,1199468.9,3167.5,0.326363636
Onion,2015,Rabi       ,Tamil Nadu,19796.0,128339,1201.9,3125986.36,6532.68,6.711071429
Ragi,2016,Autumn     ,Odisha,14266.0,9107,1460.5,2186264.5,4993.1,0.594117647
Ragi,2014,Rabi       ,Telangana,331.0,415,746.4,49967.76,109.23,1.2675
Barley,2007,Rabi       ,Uttarakhand,24704.0,25856,1924.3,3295513.6,3952.64,1.125384615
Moong(Green Gram),2004,Kharif     ,Haryana,16039.0,6100,484.6,1737665.26,3368.19,0.148823529
Rice,1998,Rabi       ,Andhra Pradesh,1504200.0,4872200,1048.3,148614960.0,436218.0,2.986086957
Other Cereals,2017,Summer     ,Maharashtra,16727.0,12765,1129.5,2633498.88,6356.26,0.712727273
Jowar,2019,Rabi       ,Tamil Nadu,218155.0,243194,910.1,37470302.8,80717.35,1.281851852
Sunflower,2003,Kharif     ,Maharashtra,89000.0,32400,1037.4,8809220.0,21360.0,0.400454545
Maize,2015,Summer     ,Gujarat,6022.0,12876,584.3,950934.02,1987.26,2.067272727
Bajra,2017,Kharif     ,Himachal Pradesh,79.0,58,1182.2,12437.76,30.02,0.718
Peas & beans (Pulses),2005,Rabi       ,Tripura,1025.0,643,1765.9,122918.0,215.25,0.595
Dry chillies,2015,Whole Year ,Assam,19929.0,17736,2155.3,3146988.39,6576.57,0.794814815
Rice,2007,Summer     ,Maharashtra,41400.0,98700,1257.2,5522760.0,6624.0,2.486
Rice,2000,Autumn     ,Bihar,2939790.0,4444354,1207.0,288599184.3,764345.4,1.399189189
Jowar,2011,Kharif     ,West Bengal,23.0,6,1686.5,3852.96,7.59,0.26
other oilseeds,2002,Whole Year ,Kerala,2253.0,0,2511.2,213291.51,563.25,0.0
Urad,2019,Rabi       ,West Bengal,5502.0,5215,1733.4,945023.52,2035.74,0.74
Onion,2017,Rabi       ,Bihar,13130.0,185740,1112.0,2067187.2,4989.4,13.78428571
Potato,1999,Whole Year ,Karnataka,27990.0,412775,1203.8,2970578.7,7557.3,17.287
Potato,2017,Summer     ,West Bengal,1130.0,12440,1830.0,177907.2,429.4,7.6
Rice,1997,Winter     ,West Bengal,4270328.0,8915100,1852.9,406407115.8,1323801.68,1.985555556
Banana,2008,Whole Year ,Karnataka,61001.0,1059346,1164.1,8725583.04,5490.09,20.47448276
Coriander,2013,Whole Year ,Tamil Nadu,7527.0,2614,740.9,1087576.23,2032.29,0.349166667
Other Kharif pulses,2002,Kharif     ,Jammu and Kashmir,6335.0,3436,933.2,599734.45,1583.75,0.516666667
Gram,1998,Kharif     ,Andhra Pradesh,100.0,100,1048.3,9880.0,29.0,1.0
Rapeseed &Mustard,1999,Rabi       ,Assam,286241.0,129425,2201.8,30378757.33,77285.07,0.479565217
Groundnut,2003,Rabi       ,Andhra Pradesh,234780.0,378789,826.0,23238524.4,56347.2,1.645
Rice,2012,Winter     ,Kerala,86751.0,212607,2187.6,13082050.8,26892.81,2.355
Peas & beans (Pulses),2011,Rabi       ,Haryana,1153.0,1000,471.5409091,193150.56,380.49,0.326
Small millets,2002,Kharif     ,Gujarat,11800.0,3100,458.4,1117106.0,2950.0,0.294
Turmeric,2014,Whole Year ,Arunachal Pradesh,725.0,3500,2403.2,109446.0,239.25,6.83
Sunflower,2010,Rabi       ,Karnataka,193178.0,98783,1317.7,32088797.58,46362.72,0.706521739
Cotton(lint),2018,Kharif     ,Tripura,812.0,1216,2169.1,131706.4,284.2,1.4175
Small millets,2001,Kharif     ,Andhra Pradesh,56370.0,33223,928.4,5757068.1,14656.2,0.469285714
Banana,1998,Whole Year ,Meghalaya,5194.0,62888,6552.7,513167.2,1506.26,11.26714286
Cotton(lint),2010,Kharif     ,Himachal Pradesh,8.0,13,1319.8,1328.88,1.92,1.355
Bajra,2009,Kharif     ,Haryana,583809.0,930000,393.0,90969118.38,99247.53,1.601428571
Barley,2012,Rabi       ,West Bengal,2387.0,3536,1566.0,359959.6,739.97,1.47125
Groundnut,1998,Autumn     ,Odisha,32001.0,27051,1357.1,3161698.8,9280.29,0.742608696
Sweet potato,1998,Winter     ,Manipur,10.0,30,1855.0,988.0,2.9,3.0
Other  Rabi pulses,2004,Rabi       ,Karnataka,23981.0,2810,1117.7,2598101.54,5036.01,0.120384615
Groundnut,2019,Autumn     ,Odisha,9663.0,11486,1593.9,1659716.88,3575.31,1.357894737
Potato,2016,Rabi       ,Telangana,3192.0,32377,942.6,489174.0,1117.2,10.56111111
Maize,2019,Rabi       ,Telangana,252561.0,1750601,1031.7,43379877.36,93447.57,6.5721875
Tapioca,2006,Kharif     ,Meghalaya,3993.0,20870,2454.7,509946.03,878.46,6.318571429
Soyabean,2014,Kharif     ,Uttar Pradesh,52551.0,37679,616.4,7933098.96,17341.83,0.734615385
Ragi,1999,Rabi       ,Uttar Pradesh,137622.0,190689,883.4,14605822.86,37157.94,1.618965517
Rice,2012,Summer     ,Kerala,47294.0,134609,2187.6,7131935.2,14661.14,2.482142857
Castor seed,2006,Rabi       ,Meghalaya,33.0,21,2454.7,4214.43,7.26,0.693333333
Moong(Green Gram),2016,Summer     ,Bihar,161583.0,111547,1205.6,24762594.75,56554.05,0.781578947
Arhar/Tur,2010,Kharif     ,Uttar Pradesh,344186.0,308419,742.6,57172736.46,82604.64,0.846760563
Horse-gram,1997,Rabi       ,Andhra Pradesh,90500.0,37200,927.5,8612885.0,28055.0,0.3655
Arhar/Tur,1999,Kharif     ,West Bengal,3077.0,2320,2318.1,326562.01,830.79,0.83
Bajra,2006,Whole Year ,Chhattisgarh,307.0,12394,1317.2,39206.97,67.54,33.11285714
Bajra,2015,Kharif     ,Jammu and Kashmir,8897.0,5305,1572.6,1404925.27,2936.01,0.604
Horse-gram,2019,Rabi       ,Telangana,619.0,539,1031.7,106319.44,229.03,0.870526316
Rice,2007,Winter     ,Jharkhand,1014731.14,1306932,1444.7,135365134.1,162356.9824,1.306363636
Bajra,2005,Kharif     ,Delhi,1690.0,3031,653.1,202664.8,354.9,1.79
Ginger,2019,Whole Year ,Madhya Pradesh,27479.56,438393,1446.7,4719889.226,10167.4372,15.64479167
Gram,2003,Rabi       ,Haryana,122845.0,100000,592.3,12159198.1,29482.8,0.623684211
Sunflower,2013,Kharif     ,Uttarakhand,40.0,39,1735.4,5779.6,10.8,0.992
Rapeseed &Mustard,2012,Rabi       ,Maharashtra,8700.0,2460,1003.4,1311960.0,2697.0,0.312105263
Rice,2001,Kharif     ,Andhra Pradesh,2426073.0,6500545,928.4,247774835.5,630778.98,2.627272727
Rapeseed &Mustard,2009,Rabi       ,Punjab,30000.0,39000,371.3,4674600.0,5100.0,1.266666667
Peas & beans (Pulses),2009,Rabi       ,Punjab,1600.0,1800,371.3,249312.0,272.0,1.071428571
Masoor,2007,Rabi       ,Jharkhand,4425.09,2924,1444.7,590307.006,708.0144,0.653076923
Potato,2002,Whole Year ,Tamil Nadu,4537.0,73362,315.9,429517.79,1134.25,18.3475
Cowpea(Lobia),2010,Kharif     ,Madhya Pradesh,2872.0,662,856.3,477067.92,689.28,0.2088
Wheat,2014,Rabi       ,Punjab,3505000.0,15050000,382.7,529114800.0,1156650.0,4.174090909
Arhar/Tur,2014,Kharif     ,Meghalaya,1148.0,1465,3484.4,173302.08,378.84,1.1
Rice,2017,Summer     ,Assam,400402.0,1191244,2098.563636,63039290.88,152152.76,2.704615385
Turmeric,2015,Whole Year ,Karnataka,14994.0,76490,1024.9,2367702.54,4948.02,4.693888889
Sesamum,1998,Kharif     ,Tripura,2170.0,930,2472.9,214396.0,629.3,0.4275
Soyabean,2005,Kharif     ,Tamil Nadu,630.0,0,1364.1,75549.6,132.3,0.0
Cashewnut,2002,Whole Year ,Goa,54373.0,23109,2516.3,5147491.91,13593.25,0.43
Ragi,2002,Kharif     ,Uttarakhand,127391.0,129586,1610.3,12060105.97,31847.75,1.168181818
Ragi,2006,Autumn     ,Odisha,24822.0,15419,1716.9,3170017.62,5460.84,0.5665
Moong(Green Gram),2019,Kharif     ,Himachal Pradesh,117.0,90,1217.7,20095.92,43.29,0.74875
Jowar,2018,Kharif     ,Tripura,563.0,450,2169.1,91318.6,197.05,0.77875
Groundnut,2015,Kharif     ,Goa,361.0,736,2587.1,57005.51,119.13,2.04
Rice,1999,Kharif     ,Uttar Pradesh,6079822.0,13230539,883.4,645251508.9,1641551.94,1.991707317
Urad,2007,Rabi       ,Tripura,406.0,251,2831.8,54160.4,64.96,0.5925
Banana,1998,Summer     ,Manipur,20.0,260,1855.0,1976.0,5.8,13.0
Wheat,1998,Rabi       ,Maharashtra,1015500.0,1308500,1314.8,100331400.0,294495.0,1.265
Gram,2009,Rabi       ,Manipur,1848.0,1584,992.5,287955.36,314.16,0.817777778
Sugarcane,2008,Whole Year ,Mizoram,1342.0,13696,1912.1,191959.68,120.78,11.12875
Bajra,2012,Kharif     ,Chhattisgarh,373.0,158,1366.8,56248.4,115.63,0.606666667
Onion,2005,Whole Year ,Uttarakhand,1996.0,26694,1353.3,239360.32,419.16,12.83076923
Sannhamp,2006,Kharif     ,Bihar,3207.0,2637,1052.8,409565.97,705.54,0.770740741
Arhar/Tur,2017,Kharif     ,Maharashtra,1375105.0,1250678,1129.5,216496531.2,522539.9,0.813225806
Maize,1999,Summer     ,Maharashtra,11200.0,18200,1166.5,1188656.0,3024.0,1.428888889
Rice,2013,Kharif     ,Telangana,1166334.0,3768045,1348.7,168523599.7,314910.18,3.115555556
Groundnut,2013,Kharif     ,Telangana,21394.0,32071,1348.7,3091219.06,5776.38,1.25875
Maize,2012,Rabi       ,Karnataka,127577.0,386114,956.2,19238611.6,39548.87,3.155185185
Other Cereals,2017,Kharif     ,Maharashtra,41744.0,20834,1129.5,6572175.36,15862.72,0.437142857
Potato,1997,Whole Year ,Odisha,8887.0,87413,1496.6,845775.79,2754.97,8.774
Jowar,2005,Rabi       ,Andhra Pradesh,261245.0,307992,1075.5,31328500.4,54861.45,1.799090909
Tobacco,2007,Whole Year ,Karnataka,113162.0,47902,1323.3,15095810.8,18105.92,0.46
Cotton(lint),1999,Kharif     ,Nagaland,250.0,350,1782.2,26532.5,67.5,1.398571429
Arhar/Tur,2008,Rabi       ,West Bengal,629.0,530,1560.1,89972.16,56.61,0.813333333
Onion,2015,Summer     ,Gujarat,10091.0,286289,584.3,1593469.81,3330.03,26.179
Arhar/Tur,2005,Kharif     ,Maharashtra,1099900.0,792200,1387.2,131900008.0,230979.0,0.6421875
Horse-gram,2015,Rabi       ,Tamil Nadu,64411.0,37706,1201.9,10171141.01,21255.63,0.580952381
Sunflower,2007,Kharif     ,Maharashtra,111500.0,64600,1257.2,14874100.0,17840.0,0.681304348
Coconut ,2004,Whole Year ,Karnataka,383206.0,1551729000,1117.7,41516538.04,80473.26,4165.395185
Other Kharif pulses,2005,Kharif     ,Sikkim,2930.0,3780,2041.6,351365.6,615.3,1.24
Other Kharif pulses,1997,Kharif     ,Goa,1000.0,194,3680.3,95170.0,310.0,0.33
Wheat,2011,Rabi       ,Manipur,2150.0,5370,1533.561905,360168.0,709.5,2.473333333
Moong(Green Gram),2000,Rabi       ,Bihar,177813.0,103366,1207.0,17455902.21,46231.38,0.566470588
Dry chillies,2012,Whole Year ,Haryana,832.0,8000,307.9,125465.6,257.92,10.43785714
Rice,2006,Kharif     ,Uttarakhand,273662.0,540128,1178.9,34949374.02,60205.64,1.645384615
Small millets,2004,Kharif     ,Nagaland,7000.0,7000,1711.5,758380.0,1470.0,0.9975
Gram,2011,Rabi       ,Madhya Pradesh,2623653.0,2841598,852.6,439514350.6,865805.49,1.026
Arhar/Tur,2005,Kharif     ,Bihar,34204.0,45211,907.8,4101743.68,7182.84,1.288108108
Arhar/Tur,2014,Kharif     ,Chhattisgarh,55306.0,35064,1274.7,8348993.76,18250.98,0.592962963
